35;"UIK";"GN";2444;2000;0;1436;24;540;24;1436;14;1446;50;45;16;5;2;0;0;0;190;129;15;244;66;792;10
54;"UIK";"GN";2402;2000;0;1582;20;398;20;1580;35;1565;110;76;88;34;3;0;0;0;162;144;3;352;53;849;2
78;"UIK";"GN";1834;1700;0;1150;28;522;28;1150;16;1162;45;34;55;11;8;0;0;0;149;71;5;194;265;468;10
103;"UIK";"GN";2437;2400;0;1346;60;994;60;1325;20;1365;70;64;14;6;9;0;0;0;155;126;20;226;65;759;14
139;"UIK";"GN";2985;2400;0;1327;98;901;98;1332;135;1295;70;49;33;21;5;0;74;0;182;133;30;389;227;323;11
144;"UIK";"GN";2542;2000;0;1254;105;641;105;1218;26;1297;50;38;31;12;0;0;0;0;240;119;28;302;195;399;14
163;"UIK";"GN";2644;2030;0;1110;18;902;18;1108;21;1105;50;49;76;1;2;0;0;0;207;71;24;241;351;182;29
188;"UIK";"GN";2197;1740;0;1056;55;629;55;1050;22;1083;50;31;16;19;1;0;0;0;180;108;16;290;232;244;13
191;"UIK";"GN";1146;900;0;786;199;95;19;784;16;787;40;18;50;22;0;0;0;0;112;60;8;209;146;243;9
199;"UIK";"GN";2522;2200;0;1227;49;924;49;1225;24;1250;70;63;35;7;1;0;0;0;299;109;13;344;258;213;14
218;"UIK";"GN";2516;2300;0;2138;34;128;34;2138;36;2136;50;37;31;13;0;0;0;0;259;136;17;332;265;1112;15
228;"UIK";"GN";2424;2450;0;1340;33;1077;33;1332;59;1306;60;56;36;4;0;0;0;0;187;179;22;288;186;430;14
265;"UIK";"GN";2432;2400;0;1224;43;1133;43;1224;28;1239;45;45;27;0;0;0;0;0;203;156;21;337;203;310;9
289;"UIK";"GN";2046;2000;0;951;19;1049;19;990;73;936;40;40;31;0;5;0;0;0;194;145;18;217;102;249;11
314;"UIK";"GN";2376;2300;0;1087;45;1168;45;1087;16;1116;55;55;14;0;0;0;0;0;236;133;24;326;107;284;6
315;"UIK";"GN";2114;1950;0;1078;34;838;34;1078;21;1091;55;47;30;8;2;0;0;0;153;164;19;249;108;390;8
337;"UIK";"GN";2438;2000;0;1190;36;774;36;1189;18;1207;50;39;37;11;5;0;0;0;179;144;22;286;134;432;10
358;"UIK";"GN";2650;1880;0;1411;87;382;87;1408;32;1463;70;56;36;14;2;0;0;0;230;146;29;385;257;405;11
396;"UIK";"GN";2445;2100;0;1857;29;214;29;1857;42;1844;50;44;49;6;0;0;0;0;264;152;17;302;354;843;12
411;"UIK";"GN";2513;2200;0;1867;58;275;58;1826;16;1868;50;32;33;18;3;0;0;0;284;101;18;361;313;774;17
425;"UIK";"GN";2261;2140;0;1385;31;724;31;1381;26;1386;63;59;38;4;9;0;0;0;294;142;26;370;303;246;5
446;"UIK";"GN";2492;2300;0;1288;39;973;39;1287;25;1301;50;37;21;13;3;0;0;0;235;160;17;362;212;301;14
467;"UIK";"GN";2938;2450;0;1185;160;1105;160;1161;20;1301;40;38;73;2;2;0;0;0;211;160;17;308;197;397;11
485;"UIK";"GN";2511;2300;0;1355;45;900;45;1350;14;1381;90;66;54;24;1;0;0;0;271;144;18;329;341;256;22
505;"UIK";"GN";1614;1200;0;838;42;320;42;838;23;857;50;34;66;16;0;0;0;0;125;120;7;193;81;319;12
519;"UIK";"GN";2610;2000;0;1251;112;637;112;1251;27;1336;58;56;82;2;9;0;0;0;223;164;10;309;190;429;11
544;"UIK";"GN";2529;1800;0;1116;54;630;54;1105;15;1144;60;48;37;12;3;0;0;0;245;168;16;272;125;305;13
569;"UIK";"GN";2299;1600;0;1030;31;539;31;1027;17;1041;50;40;36;10;1;0;0;0;230;135;14;242;134;282;4
587;"UIK";"GN";1554;1200;0;750;42;408;42;748;23;767;40;18;64;12;0;0;0;0;149;92;15;174;174;155;8
604;"UIK";"GN";1707;1500;0;912;5;583;5;909;13;901;50;50;72;0;3;0;0;0;135;122;14;198;138;282;12
627;"UIK";"GN";2615;1900;0;1346;24;530;24;1342;28;1338;62;62;17;0;9;0;0;0;251;149;29;365;224;300;20
657;"UIK";"GN";2110;2000;0;1096;60;844;59;1090;30;1119;60;36;72;24;0;0;0;0;204;125;21;315;222;218;14
