баcман;11;"Ивановский М. пер., 6/5 (с.1), 11/6 (с. 1, 2), 13/5;Колпачный пер., 6 (с.4,5);Подколокольный пер., 11/1;Подкопаевский пер., 9 (с.1), 11(с.1);Покровка ул., 2/1 (с.1, 2, 3), 4 (с.1), 6, 14/2;Покровский бульв., 4/17 (с. 6, 7, 10), 8 (с.2), 14/5, 14/6 (с.1), 16/10 (с.1), 18/15 (с.2, 4);Солянка ул., 1/2 (с.1, 2);Старосадский пер., 7, 9;Трехсвятительский Б. пер., 1-3;Трехсвятительский М. пер., 8/2;Хитровский пер., 3/1 (с.1), 4;Хохловский пер., 3, 7, 10 (с.4,7), 11 (с.1), 14 (с.2), 15, 18.";"Старосадский пер., 10, с.1,Общественный пункт охраны порядка495-623-77-53";"Б. Трехсвятительский пер., 4,школа 1227495-917-93-16";
баcман;12;"Армянский пер., 3/5, 13;Архангельский пер., 7 (с.1), 8/2 (с.2), 9, 11/16 (с.1, 4);Девяткин пер., 2, 4 (с.1А);Кривоколенный пер., 8/1 (с.1), 9 (с.1), 10 (с.1, 2), 11/13, 14 (с.1);Мясницкая ул., 22 (с.2), 22/2/5 (с.1, 3), 24 (с.1), 24/7 (с.2), 26А;Покровка ул., 3/7, 7, 11, 15/16;Потаповский пер., 6, 8, 9/11, 10, 12(с.1), 14;Сверчков пер., 10;Чистопрудный бульв., 2, 10, 12 (к. 2, 3, 4, 5, 6), 14 (с.3).";"Чистопрудный бульв., 12/7Участковый пункт милиции495-621-41-25";"Потаповский пер., 16,школа 310495-625-62-65";
баcман;13;"Гусятников пер., 3/1, 4, 9, 13/3;Козловский Б. пер., 3/2, 6, 7-9 (с.3), 8, 10 (с.1), 11, 12 (с.1);Козловский М. пер.,2/20, 6, 8, 10;Мясницкая ул., 30 (с.3), 30/1/2 (с. 1, 2), 32; 32/1 (с. 2), 40А (с.1), 42 (с.5), 44 (с.3);Огородная слобода пер.,3/36 (к. 7), 10, 12, 14;Харитоньевский Б. пер., 5/7, 9, 12А/1А, 13А, 14, 16-18, 21;Харитоньевский М. пер., 7 (с.1, 2, 3, 4), 8/18, 9/13 (с.4);Хоромный туп., 2/6, 6;Чаплыгина ул., 1А, 1/12 (с.1, 2);Чистопрудный бульв., 1А.";"Огородной слободы пер., 6Дворец детей и молодежи495-621-77-07";"Огородной слободы пер., 6Дворец детей и молодежи495-621-77-07";
баcман;14;"Машкова ул., 1/11, 5, 6 (с.1, 4), 6 (к. 2), 9 (с.1), 10; 10-12 (с.1, 2), 11 (с.1), 14, 16, 17, 18, 21, 22, 24, 26;Покровка ул., 35/17, 37 (с.1, 4Б), 37/15 (с.4) 39, 41 (с.1, 2, 3), 43 (с.3, 6, 7), 43А, 45 (с.4,5);СадоваяЧерногрязская ул., 16-18 (с.1), 20/28;Фурманный пер., 1/5, 2/7, 3, 5, 6, 7, 8, 10, 12, 15, 16 (с.1, 3), 18, 20, 22 (с.1, 2), 24;Чаплыгина ул., 13/2, 15 (с.5).";"Фурманный пер., 13, с.8Совет ветеранов495-625-00-85";"ул. Чаплыгина, 9, с.3школа 613495-625-49-20";
баcман;15;"Жуковского ул., 2, 4 (с.1, 3), 5 (с.2), 5А (с.3), 6 (с.2), 7, 9, 19/7 (с.1, 2);Макаренко ул., 1/19, 2/21 (с.1, 2, 3), 3 (с. 2), 4 (с.2), 5, 6, 8, 9 (с.1, 2);Покровка ул., 19, 21/25, 25 (с.1, 2), 27 (с.1), 29, 31 (с.1Г, 2, 3), 33/22 (с.2);Чаплыгина ул., 2 (с.2), 8, 10/11 (с.1, 3), 16;Чистопрудный бульв., 7/2, 9, 11 (с.1, 2, 4), 13 (с.1, 2, 3), 15 (с.1, 2), 23";"Фурманный пер., 13, с.8Совет ветеранов495-624-32-19";"ул. Чаплыгина, 9, с.3школа 613495-625-57-54";
баcман;16;"Земляной вал ул., 2/50, 6 (с.1, 2), 10 (с.1), 12/7, 14/16, 18/22 (с.1, к. 2, 2А);Казенный Б. пер., 2, 4, 5 (с.1), 5А, 6, 7, 8(с.1, 2), 10 (с.1, 2);Казенный М. пер., 2/1 (с.1, 2), 4/6, 8 (с.1), 10, 12 (к.1, 2), 16;Лялин пер., 5 (с.1), 7, 9 (с.1, 3), 11/13 (с.1, 2, к. 3);Покровка ул., 38, 40, 42, 44, 50 (к.1);Яковоапостольский пер., 9 (с.1, 3, к.2), 11/13, 15, 17.";"Лялин пер., 7/2Участковый пункт милиции495-916-02-81";"Б. Казенный пер., 9Школа 330495-917-95-31";
баcман;17;"Барашевский пер., 12 (с.2);Казарменный пер., 3 (с.2, 6, к.3);Лялин пер., 8 (к.1, 2), 14 (с.1, 2), 20, 22, 24-26 (с.2, 2А);Подсосенский пер., 3, 5/7 (с.1), 5А, 6 (с.1), 8 (к.2, 3), 8А, 9, 11 (к.1), 12 (с.1, 3), 13, 14 (с.1, 2), 18/5 (с.1), 19/28;Покровка ул., 20/1, 34.";"ул. Покровка, 20Совет ветеранов495-916-02-58";"Лялин пер., 12,школа 1225495-917-94-10";
баcман;18;"Воронцово поле ул., 7, 15;Дурасовский пер., 3 (с.1), 9;Земляной вал ул., 24/30 (с.1,1А), 24/32, 32, 34 (к.3А, 4А, с.4), 38/40, 39 (с.1);Казарменный пер., 4 (с.1, 2, 3), 6 (с.2), 8 (к.1, 2, 3), 10 (с.1, 2);Лялин пер., 19 (к.1), 23/29;Подсосенский пер., 22, 24;Покровский бульв., 11.";"Лялин пер., 7/2Участковый пункт милиции495-916-02-60";"ул. Воронцово поле, 5А(Клуб Высшей школы экономики)495-917-76-85";
баcман;19;"Гороховский пер., 8 (с.1), 12 (к. 7), 16, 18/20 (с. 1);Демидовский М. пер., 3;Елизаветинский пер., 6 (с.1);Казакова ул., 17/1 (с.1), 18-20 (с.1), 25 (с.4), 27, 29 (с.1, 2);Радио ул., 10;Сусальный Нижний пер., 3;Сыромятническая Нижн. ул., 2/3 (с.1), 5, 5 (с.3А);Сыромятнический 4-й пер., 3/5 (с.3, 4, 4А);Сыромятнический пр., 7/14 (с.1);Токмаков пер. 12/20, 16 (с.1), 20/31 (с.1);Туполева Академика наб., 1, 15 (с.1, 2, 3, 4)";"Сыромятнический 4-ый пер., 3/5, с.4Общественный пункт охраны порядка495-916-16-21";"ул. Радио, 6/4, с.1Театрально- художественный колледж 60499-261-46-20";
баcман;20;"Басманная Стар. ул., 10, 12 (с.2, 5), 14/2 (с.1), 20 (к.1, 2, 3, 4, 5, 12);Гороховский пер., 4 (с.4, 5), 9 (с.1), 11-13 (с.1), 15, 21;Земляной вал ул., 21/2 (с.1), 21/2-4 (с.2, 3), 23 (с.1), 25 (с.1А), 27 (с.1, 2, 3, 4);Казакова ул., 8, 8-8А (с.2, 11В), 10/2;Путейский туп., 5.";"Гороховский пер., 4МИИГАиК499-267-35-92";"Гороховский пер., 4МИИГАиК499-267-35-92";
