f86d1fcf30a92a8b168cf58b590dd703;"Территориальная избирательная комиссия района Арбат";"119002, Город Москва, Центральный административный округ, район Арбат, ул. Арбат, 40 стр.2-39";8-499-241-25-26;"Вялых Ирина Михайловна";"Арифулова Лютфия Надимовна";"Прохоренко Татьяна Анатольевна";"Дорофеев Станислав Игоревич, Макаров Борис Михайлович, Смирнова Ольга Борисовна, Шеменёв Николай Николаевич";list-Inside.aspx?RgmFolderID=156070cc-0aa6-402f-851a-172d2d9a5af7;doc-Inside.aspx?RgmFolderID=156070cc-0aa6-402f-851a-172d2d9a5af7&RgmDocID=edbd0baa-f6ee-4cfa-8e3e-f188ba3c8d68;doc-Inside.aspx?RgmFolderID=156070cc-0aa6-402f-851a-172d2d9a5af7&RgmDocID=2a1684ce-6203-4f10-85aa-5836f7b6efaf;list-Inside-doc-WholePage.aspx?RgmFolderID=5583e0ea-5ad9-4ef8-b6db-6c628385aa8f
f86d1fcf30a92a8b168cf58b590dd703;"Территориальная избирательная комиссия Басманного района";"105066, Город Москва, Центральный административный округ, район Басманный, Новая Басманная, 37";8-499-261-28-84;"Лобов Дмитрий Андреевич";"Смирнов Юрий Викторович";"Янковская Елена Владимировна";"Басалай Сергей Иванович, Баянов Руслан Ильдусович, Боровиков Павел Валентинович, Гершберг Аркадий Александрович, Гоциридзе Илья Гурамович, Ильина Светлана Гелиевна, Панченко Антон Ростиславович, Пластинин Александр Юрьевич, Самсонов Лев Владимирович, Сарычева Елена Сергеевна, Чистякова Лариса Викторовна";list-Inside.aspx?RgmFolderID=3d2bd45f-8800-4488-9498-1c6c03e4dde5;doc-Inside.aspx?RgmFolderID=3d2bd45f-8800-4488-9498-1c6c03e4dde5&RgmDocID=ec0ce5dc-91e3-4fb7-b984-617f2ac36875;doc-Inside.aspx?RgmFolderID=3d2bd45f-8800-4488-9498-1c6c03e4dde5&RgmDocID=c901e7cb-f4c4-49c1-9424-610c1a84b006;list-Inside-doc-WholePage.aspx?RgmFolderID=c5a15cb8-1595-4e3a-a191-411361edecd7
f86d1fcf30a92a8b168cf58b590dd703;"Территориальная избирательная комиссия района Замоскворечье";"115054, Город Москва, Центральный административный округ, район Замоскворечье, ул.Бахрушина, 20";"620-28-88; 620-28-64";"Тюрина Марина Вахтанговна";;"Исраилова Марина Аяддиновна";"Горбачев Олег Константинович, Волков Павел Сергеевич, Захаров Владимир Михайлович, Островский Валерий Григорьевич, Павлова Людмила Дмитриевна, Рядинский Лмитрий Сергеевич, Селезнёва Анна Александровна, Смирнова Ирина Юлиановна, Смирнов Виктор Макарович, Фролов Александр Юрьевич";list-Inside.aspx?RgmFolderID=9daffe83-e269-4bbf-ad8f-5ee8f6f0ebc7;doc-Inside.aspx?RgmFolderID=9daffe83-e269-4bbf-ad8f-5ee8f6f0ebc7&RgmDocID=e2978027-525a-4969-be8a-b1f14d221575;doc-Inside.aspx?RgmFolderID=9daffe83-e269-4bbf-ad8f-5ee8f6f0ebc7&RgmDocID=936a2616-0f09-43ef-912d-aa6f42e6e771;list-Inside-doc-WholePage.aspx?RgmFolderID=74815c8d-79c5-40f1-b45d-c7c3076d763c
f86d1fcf30a92a8b168cf58b590dd703;"Территориальная избирательная комиссия Красносельского района";"107140, Город Москва, Центральный административный округ, Красносельский район, Нижняя Красносельская, 5, стр.7";8-499-264-57-83;"Тульский Владислав Рафаэльевич";"Покатаев Сергей Александрович";"Рехлецкая Светлана Ивановна";"Богославский Сергей Николаевич, Бровко Зухра Турсуновна, Ильина Лидия Александровна, Матвеева Татьяна Николаевна, Охапкин Кирилл Аркадьевич, Строганов Алексей Владимирович, Трофимчук Сергей Петрович, Трубецкая Ольга Владимировна, Шереметьев Сергей Сергеевич";list-Inside.aspx?RgmFolderID=5d4d8348-df94-476d-9e0c-ce0394f9817b;doc-Inside.aspx?RgmFolderID=5d4d8348-df94-476d-9e0c-ce0394f9817b&RgmDocID=77ed7b71-a45a-4d92-87f9-a92cd5c42259;doc-Inside.aspx?RgmFolderID=5d4d8348-df94-476d-9e0c-ce0394f9817b&RgmDocID=e124b833-8f34-4fe0-91b8-da63907b7f0f;list-Inside-doc-WholePage.aspx?RgmFolderID=8f6fdb4b-845e-4572-9d12-7184919b3806
f86d1fcf30a92a8b168cf58b590dd703;"Территориальная избирательная комиссия Мещанского района";"129010, Город Москва, Центральный административный округ, Мещанский район, Мира проспект, 5 стр.2";608-90-24;"Кузнецов Денис Сергеевич";"Андриенко Владимир Алексеевич";"Землезин Андрей Игоревич";"Богданов Андрей Вячеславович, Викторов Василий Андреевич, Гуренко Михаил Иванович, Жукова Елена Вадимовна, Коршунов Александр Федорович, Михин Олег Викторович, Осипов Валерий Валерьевич, Пухова Тамара Бахышевна, Свидинская Елена Геннадьевна";list-Inside.aspx?RgmFolderID=f945c817-fbc8-4a17-98b3-17278cf3484f;doc-Inside.aspx?RgmFolderID=f945c817-fbc8-4a17-98b3-17278cf3484f&RgmDocID=f49aaa8e-ce88-4179-998d-59aeaff3c61a;doc-Inside.aspx?RgmFolderID=f945c817-fbc8-4a17-98b3-17278cf3484f&RgmDocID=977aa064-b802-44dd-90f0-139eba92e1ac;list-Inside-doc-WholePage.aspx?RgmFolderID=bc3050b9-d019-41ca-ab69-ef86922ae95f
f86d1fcf30a92a8b168cf58b590dd703;"Территориальная избирательная комиссия Пресненского района";"123100, Город Москва, Центральный административный округ, район Пресненский,Шмитовский проезд, 2";"8-499-256-85-84; 8-499-256-68-58";"Лахин Петр Александрович";"Тамбовцев Александр Анатольевич";"Сафронова Татьяна Анатольевна";"Батуров Александр Николаевич, Зверев Николай Николаевич, Ивлев Владимир Алексеевич, Ильина Татьяна Александровна, Колесников Алексей Владимирович, Кузичева Лариса Федоровна, Масленникова Оксана Борисовна, Мулдаров Игорь Русланович, Нечаев Юрий Николаевич, Николаев Антон Борисович, Соколов Вячеслав Анатольевич";list-Inside.aspx?RgmFolderID=61093d3d-fa02-473e-abac-df99fc834a43;doc-Inside.aspx?RgmFolderID=61093d3d-fa02-473e-abac-df99fc834a43&RgmDocID=fb0eb2b8-f90d-4e53-92be-29704e1b82c0;doc-Inside.aspx?RgmFolderID=61093d3d-fa02-473e-abac-df99fc834a43&RgmDocID=02968d8a-0b90-4276-b0e7-1b4168f7a497;list-Inside-doc-WholePage.aspx?RgmFolderID=dbea8589-c1c8-42c3-940f-f137e1a8fe6f
f86d1fcf30a92a8b168cf58b590dd703;"Территориальная избирательная комиссия Таганского района";"109147, Город Москва, Центральный административный округ, Таганский район, Воронцовская, 21";912-97-74;"Бахтиарова Римма Петровна";"Цьмох Ирина Васильевна";"Комарова Алла Юрьевна";"Антонов Артем Алексеевич, Бондарев Михаил Юрьевич, Блохина Марина Анатольевна, Гасанов Мунасиб Гасан оглы, Горчакова Лариса Федоровна, Деге Марина Владимировна, Зацепина Мария Григорьевна, Кисляк Виктор Иванович, Косаревич Татьяна Леонидовна, Неверов Максим Малхазович, Николаев Максим Владимирович";list-Inside.aspx?RgmFolderID=0a259378-35c0-4604-813a-46d5ca08aad5;doc-Inside.aspx?RgmFolderID=0a259378-35c0-4604-813a-46d5ca08aad5&RgmDocID=58f8eab7-b4c0-4ab8-9aa4-6ff24370adfe;doc-Inside.aspx?RgmFolderID=0a259378-35c0-4604-813a-46d5ca08aad5&RgmDocID=51f09922-e696-4bfb-b7cf-0232ae9457a9;list-Inside-doc-WholePage.aspx?RgmFolderID=c4c7a265-26f2-4e97-af5e-4d0ae5ea9a9d
f86d1fcf30a92a8b168cf58b590dd703;"Территориальная избирательная комиссия Тверского района";"125047, Город Москва, Центральный административный округ,Тверскойрайон, ул. Чаянова, 11/2";"8-499-251-96-05; 8-499-250-98-98";"Скворцов Алексей Владимирович";"Сытин Александр Михайлович";"Зеверова Ольга Евгеньевна";"Алексеева Надежда Николаевна, Большакова Татьяна Викторовна, Кизина Светлана Сергеевна, Папаянов Александр Анатольевич, Савенко Вячеслав Илларионович, Серебренникова Марина Анатольевна, Тюрина Галина Поликарповна, Чечурин Андрей Игоревич, Чувиковский Вячеслав Александрович";list-Inside.aspx?RgmFolderID=e0ef5bdd-28c9-4f9d-a7e9-96eaeed27257;doc-Inside.aspx?RgmFolderID=e0ef5bdd-28c9-4f9d-a7e9-96eaeed27257&RgmDocID=33caf978-bee7-4cce-978b-7dded10ce996;doc-Inside.aspx?RgmFolderID=e0ef5bdd-28c9-4f9d-a7e9-96eaeed27257&RgmDocID=8a775ad2-c06b-4073-98ab-d73061c2b437;list-Inside-doc-WholePage.aspx?RgmFolderID=4de49f71-9426-42dd-ab06-f3493c228401
f86d1fcf30a92a8b168cf58b590dd703;"Территориальная избирательная комиссия района Хамовники";"119034, Город Москва, Центральный административный округ, район Хамовники, Пречистенка, 14";637-57-33;"Орлов Александр Васильевич";"Козлов Юрий Дмитриевич";"Боткина Ирина Дмитриевна";"Белоусов Андрей Владимирович, Калинина Галина Евгеньевна, Ковалев Михаил Иванович, Осипова Наталья Николаевна, Пахомов Юрий Николаевич, Симачева Ольга Петровна, Степашенков Николай Алексеевич, Углов Станислав Валерьевич, Федорова Наталия Валерьевна, Щедрова Елена Ивановна, Харлова Марина Львовна";list-Inside.aspx?RgmFolderID=30fa1f92-1630-42f9-ba20-f431c02889a0;doc-Inside.aspx?RgmFolderID=30fa1f92-1630-42f9-ba20-f431c02889a0&RgmDocID=92c052b4-c011-41f8-ada5-3c26dd75a21b;doc-Inside.aspx?RgmFolderID=30fa1f92-1630-42f9-ba20-f431c02889a0&RgmDocID=4e3b4aed-a942-40e1-abdb-246ce2903b04;list-Inside-doc-WholePage.aspx?RgmFolderID=dd55cd66-22a8-4dba-8513-c165a20e3292
f86d1fcf30a92a8b168cf58b590dd703;"Территориальная избирательная комиссия района Якиманка";"115035, Город Москва, Центральный административный округ, район Якиманка, Болотная, 18";953-44-37;"Тарасов Алексей Васильевич";"Лобанова Татьяна Валентиновна";"Кудрявцева Мария Николаевна";"Моляров Валерий Георгиевич, Наговицына Ирена Александровна, Петров Сергей Александрович, Полетаев Владимир Викторович";list-Inside.aspx?RgmFolderID=ea5dbfdf-db59-4a6a-939e-7106e2134076;doc-Inside.aspx?RgmFolderID=ea5dbfdf-db59-4a6a-939e-7106e2134076&RgmDocID=bf7ab743-b016-41b3-b97a-a6ef7bec15be;doc-Inside.aspx?RgmFolderID=ea5dbfdf-db59-4a6a-939e-7106e2134076&RgmDocID=a792b4f3-9f8e-480d-af12-17a490b5b9c0;list-Inside-doc-WholePage.aspx?RgmFolderID=50378e9a-fc26-41f6-8c0e-9f8a73487714
