50;7191780
77;11629116
22;2406817
28;821535
29;1213457
30;1015486
31;1535508
32;1264290
33;1431479
34;2594558
35;1198332
36;2330810
80;174522
47;1098959
50;1053822
21;2424456
59;859149
56;945996
52;1007128
76;319998
73;474787
16;2750377
36;1327595
67;661797
24;5281164
14;2837159
57;896611
46;1121554
47;1730208
48;1165798
49;154468
51;787579
83;42334
52;3296543
53;629549
54;2683517
55;1974577
56;2023840
57;781249
58;1376283
59;2630408
25;1950030
60;666522
1;442183
2;208288
3;4065122
4;970885
5;2931291
0;429458
8;286782
10;639724
11;889551
12;692464
13;825530
14;955321
15;709398
16;3802285
17;309423
19;532170
61;4260535
62;1147950
63;3213378
64;4951607
65;2508608
66;494899
67;4307037
26;979797
68;2786727
69;1081974
99;1341712
70;1057614
71;1543217
72;1361094
18;1517835
73;1282014
27;1341569
86;1558004
74;3479578
20;1303423
21;1246748
87;50877
89;534588
76;1270633
